"node1","node2"
1,5
1,10
1,13
1,14
1,16
2,3
2,12
2,14
2,15
3,2
3,12
3,13
3,14
3,15
3,19
4,5
4,8
4,13
4,19
5,1
5,4
5,6
5,7
5,10
5,17
5,18
5,20
6,5
6,7
6,10
6,11
6,13
6,14
6,18
7,5
7,6
7,8
7,19
7,20
8,4
8,7
8,10
8,13
8,14
8,17
9,10
9,11
9,16
9,18
9,20
10,1
10,5
10,6
10,8
10,9
10,11
10,15
10,17
10,18
10,19
11,6
11,9
11,10
11,12
11,16
11,17
11,19
12,2
12,3
12,11
12,18
12,20
13,1
13,3
13,4
13,6
13,8
13,19
14,1
14,2
14,3
14,6
14,8
14,15
14,16
14,19
15,2
15,3
15,10
15,14
15,19
16,1
16,9
16,11
16,14
16,17
16,18
17,5
17,8
17,10
17,11
17,16
17,20
18,5
18,6
18,9
18,10
18,12
18,16
18,19
19,3
19,4
19,7
19,10
19,11
19,13
19,14
19,15
19,18
19,20
20,5
20,7
20,9
20,12
20,17
20,19
