"node1","node2"
1,6
1,7
1,11
1,13
1,16
1,20
1,22
1,23
1,24
1,25
1,33
1,35
1,43
1,47
1,51
1,54
1,62
1,64
1,66
1,68
1,75
1,84
1,85
1,89
1,91
1,98
1,99
2,3
2,4
2,5
2,15
2,18
2,24
2,25
2,28
2,32
2,36
2,39
2,41
2,48
2,50
2,51
2,54
2,59
2,65
2,66
2,67
2,69
2,70
2,72
2,76
2,80
2,85
2,92
2,93
2,94
2,96
2,97
2,98
3,2
3,13
3,19
3,20
3,23
3,24
3,34
3,35
3,47
3,52
3,56
3,70
3,73
3,78
3,79
3,86
3,92
3,95
3,97
4,2
4,9
4,12
4,14
4,20
4,21
4,23
4,29
4,34
4,35
4,40
4,49
4,50
4,55
4,57
4,61
4,63
4,66
4,67
4,69
4,70
4,71
4,73
4,77
4,83
4,85
4,86
4,87
4,88
4,89
4,92
4,96
5,2
5,7
5,9
5,10
5,11
5,15
5,17
5,18
5,19
5,21
5,22
5,24
5,25
5,32
5,35
5,36
5,39
5,40
5,41
5,42
5,48
5,54
5,58
5,61
5,69
5,75
5,76
5,77
5,78
5,81
5,83
5,87
5,94
5,99
6,1
6,8
6,9
6,10
6,21
6,23
6,25
6,27
6,28
6,29
6,30
6,32
6,36
6,37
6,39
6,41
6,43
6,44
6,45
6,47
6,52
6,56
6,60
6,62
6,63
6,65
6,67
6,69
6,88
6,89
6,92
6,95
6,100
7,1
7,5
7,8
7,15
7,17
7,19
7,20
7,23
7,27
7,33
7,35
7,36
7,38
7,43
7,44
7,45
7,52
7,54
7,65
7,66
7,68
7,78
7,80
7,81
7,85
7,92
7,98
7,100
8,6
8,7
8,9
8,15
8,16
8,20
8,22
8,27
8,29
8,38
8,43
8,45
8,50
8,58
8,61
8,69
8,70
8,73
8,76
8,77
8,81
8,92
8,96
9,4
9,5
9,6
9,8
9,22
9,32
9,44
9,45
9,46
9,53
9,63
9,65
9,70
9,73
9,76
9,84
9,90
9,95
9,97
9,99
9,100
10,5
10,6
10,12
10,14
10,15
10,16
10,18
10,26
10,27
10,34
10,36
10,37
10,38
10,41
10,45
10,52
10,53
10,54
10,55
10,56
10,62
10,67
10,70
10,71
10,78
10,92
10,93
10,94
10,96
10,100
11,1
11,5
11,12
11,17
11,26
11,29
11,35
11,37
11,39
11,42
11,44
11,46
11,55
11,58
11,67
11,69
11,70
11,72
11,73
11,74
11,75
11,78
11,79
11,80
11,85
11,87
11,94
11,95
12,4
12,10
12,11
12,20
12,21
12,26
12,28
12,29
12,34
12,39
12,42
12,44
12,48
12,51
12,54
12,56
12,58
12,59
12,61
12,81
12,82
12,83
12,86
12,91
12,94
12,96
13,1
13,3
13,16
13,17
13,22
13,27
13,32
13,45
13,46
13,47
13,49
13,50
13,54
13,61
13,62
13,63
13,65
13,66
13,74
13,75
13,77
13,78
13,79
13,84
13,86
13,91
13,93
13,97
13,99
14,4
14,10
14,22
14,32
14,35
14,37
14,41
14,42
14,48
14,53
14,54
14,58
14,59
14,60
14,63
14,64
14,65
14,67
14,70
14,74
14,76
14,79
14,82
14,83
14,84
14,86
14,90
14,91
14,97
14,99
14,100
15,2
15,5
15,7
15,8
15,10
15,23
15,28
15,29
15,33
15,34
15,37
15,41
15,42
15,44
15,45
15,46
15,49
15,52
15,53
15,54
15,58
15,64
15,66
15,71
15,72
15,80
15,85
15,90
15,92
15,95
16,1
16,8
16,10
16,13
16,19
16,20
16,21
16,27
16,34
16,35
16,38
16,41
16,44
16,48
16,49
16,52
16,62
16,66
16,67
16,69
16,72
16,73
16,74
16,79
16,80
16,82
16,89
16,91
16,92
16,94
16,100
17,5
17,7
17,11
17,13
17,18
17,19
17,20
17,26
17,27
17,32
17,34
17,36
17,39
17,42
17,49
17,50
17,54
17,56
17,62
17,65
17,66
17,67
17,73
17,75
17,83
17,90
17,93
17,96
17,97
18,2
18,5
18,10
18,17
18,20
18,21
18,24
18,27
18,29
18,32
18,37
18,40
18,43
18,47
18,50
18,51
18,55
18,59
18,62
18,72
18,73
18,77
18,78
18,80
18,83
18,89
18,94
18,96
18,97
18,100
19,3
19,5
19,7
19,16
19,17
19,23
19,25
19,37
19,40
19,42
19,43
19,46
19,48
19,49
19,53
19,54
19,56
19,57
19,66
19,69
19,71
19,73
19,75
19,78
19,79
19,80
19,86
19,88
19,97
19,98
19,99
20,1
20,3
20,4
20,7
20,8
20,12
20,16
20,17
20,18
20,23
20,26
20,30
20,37
20,43
20,47
20,54
20,57
20,58
20,60
20,66
20,68
20,74
20,75
20,78
20,80
20,81
20,83
20,84
20,85
20,86
20,96
20,97
20,99
21,4
21,5
21,6
21,12
21,16
21,18
21,25
21,26
21,27
21,28
21,29
21,30
21,31
21,32
21,40
21,45
21,46
21,48
21,51
21,62
21,63
21,64
