"node1","node2"
1,2
1,3
1,5
1,6
1,7
1,9
1,12
1,13
1,14
1,15
1,22
1,24
1,26
1,34
1,35
1,38
1,41
1,44
1,48
2,1
2,5
2,9
2,10
2,13
2,15
2,25
2,28
2,36
2,38
2,39
2,43
3,1
3,8
3,10
3,11
3,13
3,14
3,16
3,19
3,24
3,36
3,37
3,38
3,45
3,47
3,50
4,7
4,9
4,11
4,12
4,15
4,16
4,18
4,23
4,25
4,27
4,28
4,29
4,33
4,41
4,42
4,46
5,1
5,2
5,22
5,33
5,34
5,38
5,42
5,44
5,47
6,1
6,7
6,10
6,15
6,21
6,22
6,27
6,28
6,32
6,33
6,34
6,39
6,42
6,43
6,46
6,47
6,49
7,1
7,4
7,6
7,16
7,21
7,25
7,27
7,28
7,31
7,32
7,35
7,40
7,43
7,45
7,49
7,50
8,3
8,9
8,11
8,12
8,13
8,15
8,16
8,18
8,23
8,26
8,27
8,29
8,30
8,33
8,35
8,38
8,39
8,40
8,41
8,43
8,50
9,1
9,2
9,4
9,8
9,10
9,12
9,13
9,19
9,20
9,21
9,25
9,29
9,32
9,34
9,43
9,44
9,49
9,50
10,2
10,3
10,6
10,9
10,15
10,18
10,19
10,20
10,21
10,27
10,30
10,33
10,34
10,37
10,38
10,40
10,45
10,50
11,3
11,4
11,8
11,16
11,17
11,18
11,23
11,27
11,30
11,32
11,33
11,35
11,40
11,43
12,1
12,4
12,8
12,9
12,21
12,23
12,24
12,25
12,26
12,30
12,34
12,36
12,37
12,40
12,42
12,43
12,47
12,48
13,1
13,2
13,3
13,8
13,9
13,22
13,24
13,28
13,30
13,31
13,32
13,40
13,42
13,43
13,44
13,45
13,47
13,48
13,50
14,1
14,3
14,16
14,18
14,19
14,22
14,27
14,30
14,35
14,36
14,41
14,44
14,50
15,1
15,2
15,4
15,6
15,8
15,10
15,16
15,18
15,20
15,24
15,27
15,32
15,34
15,35
15,41
15,42
15,45
16,3
16,4
16,7
16,8
16,11
16,14
16,15
16,19
16,21
16,23
16,24
16,27
16,29
16,34
16,35
16,46
17,11
17,18
17,19
17,23
17,26
17,29
17,33
17,34
17,41
17,42
17,44
17,50
18,4
18,8
18,10
18,11
18,14
18,15
18,17
18,19
18,26
18,27
18,30
18,33
18,35
18,37
18,40
18,48
19,3
19,9
19,10
19,14
19,16
19,17
19,18
19,20
19,23
19,24
19,25
19,34
19,38
19,44
19,49
19,50
20,9
20,10
20,15
20,19
20,22
20,30
20,35
20,40
20,41
20,42
20,43
20,45
20,50
21,6
21,7
21,9
21,10
21,12
21,16
21,22
21,28
21,38
21,39
21,42
21,44
21,49
22,1
22,5
22,6
22,13
22,14
22,20
22,21
22,23
22,29
22,38
22,48
23,4
23,8
23,11
23,12
23,16
23,17
23,19
23,22
23,32
23,33
23,36
23,38
23,42
23,45
23,49
23,50
24,1
24,3
24,12
24,13
24,15
24,16
24,19
24,27
24,30
24,31
24,37
24,47
25,2
25,4
25,7
25,9
25,12
25,19
25,26
25,28
25,29
25,34
25,39
25,43
25,46
25,48
25,50
26,1
26,8
26,12
26,17
26,18
26,25
26,28
26,34
26,35
26,36
26,37
26,40
26,46
27,4
27,6
27,7
27,8
27,10
27,11
27,14
27,15
27,16
27,18
27,24
27,29
27,33
27,49
28,2
28,4
28,6
28,7
28,13
28,21
28,25
28,26
28,36
28,39
28,42
29,4
29,8
29,9
29,16
29,17
29,22
29,25
29,27
29,34
29,36
29,37
29,39
29,43
29,44
29,50
